Pair	src_audio_path	tgt_speaker	VC_filename
MSA-MSA	audio/01_MSA-MSA/source_audio.wav	male_ae	male_ae_female_ab_00191_test_076978
EGY-EGY	audio/02_EGY-EGY/source_audio.wav	C03-R13-S13	S13_S32-C03-R32_019666-020544_test_009825
TUN-TUN	audio/03_TUN-TUN/source_audio.wav	We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage	We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage_Be_the_woman_you_always_wanted_to_be_Sarah_Arbi_TEDxJendoubaVille_93.92_103_test_014860
EMI-EMI	audio/04_EMI-EMI/source_audio.wav	ThinkWithHessa_4	ThinkWithHessa_TheDirection_13_172_1343806_1351412_test_084676
EGYCS-EGY	audio/05_EGYCS-EGY/source_audio.wav	We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage	We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage_S15-C03-R15_020324-020823_test_002617
TUNCS-TUN	audio/06_TUNCS-TUN/source_audio.wav	Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen	Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen_Pink_Banana_Good_News_from_Tunisia_Raya_Ben_Guiza_at_TEDxCarthageWomen_515.86_524_test_016176
EMICD-EMI	audio/07_EMICD-EMI/source_audio.wav	ThinkWithHessa_4	ThinkWithHessa_TheDirection_11_100_617615_631665_test_084709
ALG-MSA	audio/08_ALG-MSA/source_audio.wav	male_ae	male_ae_12891_1_test_086515
PAL-TUN	audio/09_PAL-TUN/source_audio.wav	Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen	Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen_49148_1_test_095849
YEM-EMI	audio/10_YEM-EMI/source_audio.wav	ThinkWithHessa_4	ThinkWithHessa_44905_2_test_101011
