filename	target_utt	target_speaker	target_corpus	target_dur	target_text	target_audio_path	source_utt	source_speaker	source_corpus	source_dur	source_text	source_audio_path
male_ae_female_ab_00191_test_076978	male_ae_00162.wav	male_ae	ArVoice	5.5	مشيراً إلى أن صاحب السمو الشيخ الدكتور سلطان بن محمد القاسمي	audio/01_MSA-MSA/target_audio.wav	female_ab_00191.wav	female_ab	ArVoice	9.8	وَتَهْدِفُ الْحَمْلَةُ إِلَى زِيادَةِ الْوَعْيِ بِحُقوقِ الْمَرْأَة وَبِالْعُنْفِ الْقَائِمِ عَلَى النَّوْعِ الاجْتِمَاعِيِّ فِي مُسْتَوَيَيْهِ الْمَحَلِّيِّ وَالْإِقْلِيمِيِّ	audio/01_MSA-MSA/source_audio.wav
S13_S32-C03-R32_019666-020544_test_009825	S13-C03-R13_020107-020570	S13	ArzEn	4.6	أنا بعمل مشروع اسمه Multi-Robot system task allocation	audio/02_EGY-EGY/target_audio.wav	S32-C03-R32_019666-020544	S32	ArzEn	8.8	قولتله ان أنا مش عايز أكمل فقاللي لأ أنا خلاص سامحتك [LAUGHTER] بعد ما عرفت و هديك فرصة تانية تكمل فقولتله أنا مش عايز أكمل [LAUGHTER]	audio/02_EGY-EGY/source_audio.wav
We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage_Be_the_woman_you_always_wanted_to_be_Sarah_Arbi_TEDxJendoubaVille_93.92_103_test_014860	We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage_229.97_234.17	We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage	TEDxTN	4.2	يكلمك يقول لك إيجا بحذايا تفضل ساعة بالساعة نخدم	audio/03_TUN-TUN/target_audio.wav	Be_the_woman_you_always_wanted_to_be_Sarah_Arbi_TEDxJendoubaVille_93.92_103.75	Be_the_woman_you_always_wanted_to_be_Sarah_Arbi_TEDxJendoubaVille	TEDxTN	9.8	هي لا تفهم حتى شي على حياتي ولا آنا كيفاش وصلت هونيا ولا شنوا نعمل كل يوم ولا علاش إنروح إمخر ورا علاش شعري قصير وإلا شبيني ما إنروحش لدارنا ديما	audio/03_TUN-TUN/source_audio.wav
ThinkWithHessa_TheDirection_13_172_1343806_1351412_test_084676	ThinkWithHessa_14_130_1311767_1319032.wav	ThinkWithHessa	Mixat	7.3	وبتكون يعني عندي مصداقية في مصداقية في الموضوع و [I'm credible] يعني.	audio/04_EMI-EMI/target_audio.wav	TheDirection_13_172_1343806_1351412.wav	TheDirection_13	Mixat	7.6	أخوي فصل رجعنالك، ودنا نعرف في هذا المشروع الحين، شو المهام اللي أنت تجوم فيه؟	audio/04_EMI-EMI/source_audio.wav
We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage_S15-C03-R15_020324-020823_test_002617	We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage_203.07_208.36	We_live_until_we_die_and_we_dont_live_while_I_am_dead_inside_Mohamed_Ali_Ben_Hadji_TEDxUniversityofCarthage	TEDxTN	5.3	آنا وصلت بعد آ بعد période متع أربعة سنين à peu près عامين بلاش	audio/05_EGYCS-EGY/target_audio.wav	S15-C03-R15_020324-020823	S15	ArzEn	5.0	و فعلا احنا we were friends as in احنا كنا بنزور بعض في ال+weekends و كده	audio/05_EGYCS-EGY/source_audio.wav
Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen_Pink_Banana_Good_News_from_Tunisia_Raya_Ben_Guiza_at_TEDxCarthageWomen_515.86_524_test_016176	Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen_485.66_489.65	Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen	TEDxTN	4.0	قالوا لي ضحى نهار الخميس الثمانية متاع الصباح يلزمك تكون في السفارة	audio/06_TUNCS-TUN/target_audio.wav	Pink_Banana_Good_News_from_Tunisia_Raya_Ben_Guiza_at_TEDxCarthageWomen_515.86_524.82	Pink_Banana_Good_News_from_Tunisia_Raya_Ben_Guiza_at_TEDxCarthageWomen	TEDxTN	9.0	et la bienveillance la bienveillance معنتها مغير حسد و juste de l'entraide وإنعاونوا بعضنا والكلمة الحلوة واليد في اليد	audio/06_TUNCS-TUN/source_audio.wav
ThinkWithHessa_TheDirection_11_100_617615_631665_test_084709	ThinkWithHessa_14_77_732757_740223.wav	ThinkWithHessa	Mixat	7.5	حتى لو ما حد كان بيعطيني [tour] عادي أمشي في المباني وأسأل الناس اللي في المباني شو هالمبنى؟ شو اسمه؟ منو يدرس هنا؟ عادي.	audio/07_EMICD-EMI/target_audio.wav	TheDirection_11_100_617615_631665.wav	TheDirection_11	Mixat	14.1	وإذا أنا بطول في هالمكان أشوف أحط لي مثلًا [post] معين، إنجاز معين أبى أحققه في هالمكان، طيب هذي الأهداف الوظيفيه. الحين قلت لي بعدين الجزء الثاني إللي هو أهدافي الماليه أو الأهداف الماديه.	audio/07_EMICD-EMI/source_audio.wav
male_ae_12891_1_test_086515	male_ae_00339.wav	male_ae	ArVoice	7.2	وهذا ما حفظه لنا التاريخ عن الخوارج قديماً واجترائهم على قتل الصحابة بعد تكفيرهم	audio/08_ALG-MSA/target_audio.wav	12891_1	-	Casablanca_Algeria	6.2	الله يسهل عليكم  أنا السلطان عاشور العاشر مكان حتى واحد يتشرط عليا هنا في المملكة تاعي	audio/08_ALG-MSA/source_audio.wav
Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen_49148_1_test_095849	Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen_27.65_35.60	Obstacles_what_obstacles_Dhouha_Boukadi_at_TEDxCarthageWomen	TEDxTN	8.0	أما ثماشي واحد منكم مشى نهار للمكتب وهو صغرون وما خلاوهش يدخل قالوا له ما إنحبكش تقرى معانا	audio/09_PAL-TUN/target_audio.wav	49148_1	-	Casablanca_Palestine	3.5	المي مقطوعة من الصبح يعني ما بقدر احضرلك تتحمم	audio/09_PAL-TUN/source_audio.wav
ThinkWithHessa_44905_2_test_101011	ThinkWithHessa_10_31_385095_392037.wav	ThinkWithHessa	Mixat	6.9	لو أحس إن هذا الشي صح، أحس إن هذا الشي غلط، أحس إنه هذا هو الطريج الصح.	audio/10_YEM-EMI/target_audio.wav	44905_2	-	Casablanca_Yemen	11.2	ان شاء الله بعد ما ناخذ المفتاح و نفتح الخزنه, اعرفي اشتري جنبيه ما قد احتزم بها ادمي على وجهه الكرة الارضيه	audio/10_YEM-EMI/source_audio.wav
